Reference,Quantity,Value,Footprint,Manufacturer,MPN,
C1 C14 C16 C2 C5,5,C_4u7_0603,0603-cap,TDK,C1608X5R1V475M080AC,
C10 C11 C12 C13 C15 C17 C18 C8 C9,9,C_100n_0402_6V3,0402-cap,Walsin,0402X104K6R3CT,
C3,1,C_100p_0402,0402-cap,WALSIN,0402N101J500CT,
C4,1,C_22u_0603,0603-cap,MURATA,GRM188R60J226MEA0D,
C6 C7,2,C_12p_0402,0402-cap,TDK,CGA2B2C0G1H120J050BA,
D1,1,MBR0520LT1G,SOD-123,ON Semiconductor,MBR0520LT1G,
D11 D3 D5,3,TPD2EUSB30DRTR,SOT-3,Texas Instruments,TPD2EUSB30DRTR,
D2,1,LG_L29K-G2J1-24-Z,LED_0603,OSRAM Opto Semiconductors Inc.,LG L29K-G2J1-24-Z,
D4,1,ASMB-MTB1-0A3A2,LED-PLCC4_3.2x2.8mm,Broadcom,UHD1110-FKA,
D6,1,SD05C.TCT,SOD-323-SD05,Semtec,SD05C.TCT,
IC1,1,EOS-S3-QFN,QFN-64_8.5x8.5_EOS,,,
J1 J7,2,22-23-2021,PinHeader_1x2_P2.54mm_Drill1.02mm,Molex,22-23-2021,
J2,1,1x12_pinhead,1x12_pinhead,,,
J3,1,1x16_pinhead,1x16_pinhead,,,
J4,1,S2B-PH-SM4-TB_LF__SN_,PinHeader_2x1mm_P2mm_SMD_RA,JST Sales America Inc.,S2B-PH-SM4-TB(LF)(SN),
J5,1,0473460001,USB_Micro_B_Female_0473460001,Molex,0473460001,
J6,1,FTSH-105-01-L-DV-K,PinHeader_2x5_P1.27_SMD,Samtec Inc.,FTSH-105-01-L-DV-K,
J8,1,2x8_pinhead,2x8_pinhead,,,
L1,1,DFE201610E-R47M=P2,0805-res,Murata,DFE201610E-R47M=P2,
M1 M2 M3 M4,4,mounting_pad,mpad,,,
MIC1,1,IM69D130,IM69D130,Infineon,IM69D130,
N1,1,oshw_logo,oshw-logo,,,
N2,1,ql_logo,LOGO,,,
Q1,1,NX3008CBKV,SOT-563,Nexperia,NX3008CBKV,
Q2 Q3,2,2N7002PV,SOT-563,Nexperia,2N7002PV,
R1 R12 R17 R5,4,R_100k_0402,0402-res,VISHAY,CRCW0402100KFKEDHP,
R10 R14 R15 R19 R21 R22 R23 R31 R32 R34 R36 R37 R6 R8,14,R_10k_0402,0402-res,VISHAY,CRCW040210K0FKEDHP,
R11 R28 R29 R35 R38 R39 R40 R7,8,R_22R_0402,0402-res,VISHAY,CRCW040222R0FKED,
R13 R24 R26,3,R_100R_0402,0402-res,BOURNS,CR0402-FX-1000GLF,
R16,1,R_200k_0402,0402-res,YAGEO_(PHYCOMP),RC0402FR-07200KL,
R18 R2 R20,3,R_4k7_0402,0402-res,PANASONIC_ELECTRONIC_COMPONENTS,ERJ2GEJ472X,
R25,1,R_220R_0402,0402-res,TE_CONNECTIVITY_/_NEOHM,CRG0402J220R,
R3 R9,2,R_1k5_0402,0402-res,PANASONIC_ELECTRONIC_COMPONENTS,ERJ2RKF1501X,
R30 R33 R41 R42,4,EXB2HV220JV,R_Array_Convex_8x0602,Panasonic,EXB2HV220JV,
R4,1,R_453k_0402,0402-res,VISHAY,CRCW0402453KFKED,
S1 S2,2,KMR2,SW_SPST_4.2x2.8,C&K Components,KMR211NGLFS,
TP1 TP2 TP6,3,TP_SMD1MM,Testpoint_smd_1mm,N/A,N/A,
TP4 TP5,2,TP_THT,Testpoint_THT_Drill0.9mm,N/A,N/A,
U1,1,TPS62821DLCR,QFN-8_2x1mm,Texas Instruments,TPS62821DLCR,
U2,1,MCP73831T-2ACI_OT,SOT-753,Microchip Technology,MCP73831T-2ACI/OT,
U3,1,GD25Q16CWIGR,GD25Q16CWIG,GigaDevice,GD25Q16CWIGR,
U4,1,DPS310,PG-VLGA-8-2,Infineon,DPS310,
U5,1,MC3635,MC3635,mCube,MC3635,
X1,1,ECS-_327-12_5-34B-TR,SMD-2_3.2x1.5mm,ECS Inc.,ECS-.327-12.5-34B-TR,
