Ref,Val,Package,PosX,PosY,Rot,Side
"C1","C_4u7_0603","0603-cap",15.949000,11.233000,180.000000,top
"C2","C_4u7_0603","0603-cap",13.089000,12.713000,0.000000,top
"C3","C_100p_0402","0402-cap",12.279000,5.053000,90.000000,top
"C4","C_22u_0603","0603-cap",13.579000,5.253000,90.000000,top
"C5","C_4u7_0603","0603-cap",6.189000,14.203000,90.000000,top
"C6","C_12p_0402","0402-cap",33.189000,17.223000,0.000000,top
"C7","C_12p_0402","0402-cap",29.559000,19.283000,90.000000,top
"C8","C_100n_0402_6V3","0402-cap",25.329000,15.783000,90.000000,top
"C9","C_100n_0402_6V3","0402-cap",36.469000,10.223000,270.000000,top
"C10","C_100n_0402_6V3","0402-cap",19.769000,16.583000,0.000000,top
"C11","C_100n_0402_6V3","0402-cap",17.889000,11.653000,90.000000,top
"C12","C_100n_0402_6V3","0402-cap",26.739000,17.203000,180.000000,top
"C13","C_100n_0402_6V3","0402-cap",36.099000,12.913000,0.000000,top
"C14","C_4u7_0603","0603-cap",26.549000,18.983000,90.000000,top
"C15","C_100n_0402_6V3","0402-cap",22.214000,10.113000,180.000000,top
"C16","C_4u7_0603","0603-cap",27.939000,18.983000,90.000000,top
"C17","C_100n_0402_6V3","0402-cap",34.009000,7.843000,0.000000,top
"C18","C_100n_0402_6V3","0402-cap",45.279000,4.333000,270.000000,top
"R1","R_100k_0402","0402-res",13.779000,10.953000,0.000000,top
"R2","R_4k7_0402","0402-res",6.559000,10.543000,180.000000,top
"R3","R_1k5_0402","0402-res",12.299000,10.973000,270.000000,top
"R4","R_453k_0402","0402-res",12.299000,6.993000,90.000000,top
"R5","R_100k_0402","0402-res",12.289000,8.983000,90.000000,top
"R6","R_10k_0402","0402-res",4.569000,5.743000,270.000000,top
"R7","R_22R_0402","0402-res",26.259000,4.893000,270.000000,top
"R8","R_10k_0402","0402-res",15.269000,3.323000,0.000000,top
"R9","R_1k5_0402","0402-res",27.369000,4.853000,270.000000,top
"R10","R_10k_0402","0402-res",25.119000,7.053000,270.000000,top
"R11","R_22R_0402","0402-res",25.149000,4.913000,270.000000,top
"R12","R_100k_0402","0402-res",22.389000,18.763000,0.000000,top
"R13","R_100R_0402","0402-res",36.459000,8.293000,90.000000,top
"R14","R_10k_0402","0402-res",21.969000,12.423000,180.000000,top
"R15","R_10k_0402","0402-res",24.379000,14.863000,90.000000,top
"R16","R_200k_0402","0402-res",25.199000,17.833000,90.000000,top
"R17","R_100k_0402","0402-res",24.249000,16.823000,270.000000,top
"R18","R_4k7_0402","0402-res",18.329000,10.123000,0.000000,top
"R19","R_10k_0402","0402-res",17.879000,13.588000,90.000000,top
"R20","R_4k7_0402","0402-res",20.279000,10.113000,0.000000,top
"R21","R_10k_0402","0402-res",33.229000,16.173000,180.000000,top
"R22","R_10k_0402","0402-res",36.549000,14.183000,180.000000,top
"R23","R_10k_0402","0402-res",39.619000,16.763000,270.000000,top
"R24","R_100R_0402","0402-res",19.769000,18.643000,180.000000,top
"R25","R_220R_0402","0402-res",16.099000,14.013000,180.000000,top
"R26","R_100R_0402","0402-res",19.759000,17.533000,180.000000,top
"R28","R_22R_0402","0402-res",25.469000,3.243000,180.000000,top
"R29","R_22R_0402","0402-res",27.414000,3.233000,180.000000,top
"R30","EXB2HV220JV","R_Array_Convex_8x0602",33.889000,5.173000,90.000000,top
"R31","R_10k_0402","0402-res",39.629000,18.733000,90.000000,top
"R32","R_10k_0402","0402-res",39.289000,7.693000,180.000000,top
"R33","EXB2HV220JV","R_Array_Convex_8x0602",49.310000,16.090000,0.000000,top
"R34","R_10k_0402","0402-res",37.749000,6.403000,90.000000,top
"R35","R_22R_0402","0402-res",2.509000,5.743000,270.000000,top
"R36","R_10k_0402","0402-res",3.549000,5.743000,270.000000,top
"R37","R_10k_0402","0402-res",35.419000,8.303000,270.000000,top
"R38","R_22R_0402","0402-res",18.439000,19.683000,180.000000,top
"R39","R_22R_0402","0402-res",20.399000,19.693000,0.000000,top
"R40","R_22R_0402","0402-res",22.369000,19.683000,180.000000,top
"R41","EXB2HV220JV","R_Array_Convex_8x0602",36.499000,17.793000,90.000000,top
"R42","EXB2HV220JV","R_Array_Convex_8x0602",49.310000,10.790000,0.000000,top
